126,American University,Private,www.american.edu
127,Furman University,Private,www2.furman.edu/Pages/default.aspx
128,Connecticut College,Private,www.conncoll.edu
129,Pepperdine University,Private,www.pepperdine.edu
130,University of Connecticut,Public,uconn.edu
131,Indiana University Bloomington,Public,www.indiana.edu
132,DePauw University,Private,www.depauw.edu
133,Elon University,Private,www.elon.edu
134,Clemson University,Public,www.clemson.edu
135,Fairfield University,Private,www.fairfield.edu
136,James Madison University,Public,www.jmu.edu
137,Mount Holyoke College,Private,https://www.mtholyoke.edu
138,Gettysburg College,Private,www.gettysburg.edu
139,North Carolina State University Raleigh,Public,www.ncsu.edu
140,University of Denver,Private,www.du.edu
141,Fordham University,Private,www.fordham.edu
142,University of San Diego,Private,www.sandiego.edu
143,Trinity University (TX),Private,web.trinity.edu
144,University of Pittsburgh,Public,www.pitt.edu
145,Binghamton University SUNY,Public,www.binghamton.edu
146,University of Colorado Boulder,Public,www.colorado.edu
147,University of Delaware,Public,www.udel.edu
148,Texas Christian University,Private,www.tcu.edu
149,College of New Jersey,Public,tcnj.edu
150,Rhodes College,Private,www.rhodes.edu
151,Florida State University,Public,www.fsu.edu
152,Stevens Institute of Technology,Private,www.stevens.edu/sit
153,Denison University,Private,denison.edu
154,Sewanee University of the South,Private,www.sewanee.edu
155,University of Massachusetts Amherst,Public,www.umass.edu
156,Syracuse University,Private,syracuse.edu
157,Sarah Lawrence College,Private,www.slc.edu
158,St. Lawrence University,Private,www.stlawu.edu
159,Michigan State University,Public,www.msu.edu
160,University of Iowa,Public,www.uiowa.edu
161,Saint Louis University,Private,www.slu.edu
162,Seattle University,Private,www.seattleu.edu/default.aspx
163,Manhattan School of Music,Private,
164,Kalamazoo College,Private,www.kzoo.edu
165,University of Dayton,Private,www.udayton.edu
166,Auburn University,Public,www.auburn.edu
167,Saint Joseph's University (PA),Private,www.sju.edu
168,University of Vermont,Public,www.uvm.edu
169,Samford University,Private,www.samford.edu
170,Gonzaga University,Private,www.gonzaga.edu
171,Wofford College,Private,www.wofford.edu
172,Providence College,Private,www.providence.edu/Pages/default.aspx
173,University of Puget Sound,Private,www.pugetsound.edu
174,CUNY Baruch College,Public,www.baruch.cuny.edu
175,Loyola University Maryland,Private,www.loyola.edu
176,SUNY Stony Brook (Stony Brook University),Public,www.stonybrook.edu
177,George Mason University,Public,www.gmu.edu
178,Chapman University,Private,www.chapman.edu
179,Muhlenberg College,Private,www.muhlenberg.edu
180,Marquette University,Private,www.marquette.edu
181,San Diego State University,Public,www.sdsu.edu
182,Northeastern University,Private,www.northeastern.edu
183,University of California Santa Cruz,Public,www.ucsc.edu
184,Lewis & Clark College,Private,www.lclark.edu
185,Miami University (OH),Public,miamioh.edu
186,Arizona State University Tempe,Public,www.asu.edu
187,University of Utah,Public,www.utah.edu
188,University of Oklahoma Norman,Public,www.ou.edu
189,Marist College,Private,www.marist.edu
190,Hobart and William Smith Colleges,Private,www.hws.edu
191,University of Oregon,Public,www.uoregon.edu
192,Drake University,Private,www.drake.edu
193,Lawrence University,Private,www.lawrence.edu
194,Creighton University,Private,www.creighton.edu
195,Hillsdale College,Private,www.hillsdale.edu
196,University at Buffalo (SUNY),Public,www.buffalo.edu
197,University of Tulsa,Private,www.utulsa.edu
198,University of Saint Thomas (MN),Private,www.stthomas.edu
199,University of California Riverside,Public,ucr.edu
200,Manhattan College,Private,www.manhattan.edu
201,University of South Carolina,Public,www.sc.edu
202,Baylor University,Private,www.baylor.edu
203,Bryant University,Private,www.bryant.edu
204,University of Mary Washington,Public,www.umw.edu
205,Virginia Military Institute,Public,www.vmi.edu
206,Clark University (MA),Private,www.clarku.edu
207,Clarkson University,Private,www.clarkson.edu
208,Illinois Institute of Technology,Private,www.iit.edu
209,Centre College,Private,www.centre.edu
210,University of San Francisco,Private,www.usfca.edu
211,Iowa State University,Public,www.iastate.edu
212,Louisiana State University,Public,www.lsu.edu
213,Willamette University,Private,www.willamette.edu
214,Gustavus Adolphus College,Private,https://gustavus.edu
215,Quinnipiac University,Private,www.quinnipiac.edu
216,Butler University,Private,www.butler.edu
217,SUNY College of Environmental Science and Forestry,Public,www.esf.edu
218,University of Arizona,Public,www.arizona.edu
219,University of Missouri Columbia,Public,www.missouri.edu
220,The Citadel,Public,www.citadel.edu/root
221,University of Washington Bothell,Public,https://www.uwb.edu
222,Emerson College,Private,www.emerson.edu
223,Colorado State University Fort Collins,Public,www.colostate.edu
224,University of Tennessee Knoxville,Public,www.utk.edu
225,Taylor University,Private,www.taylor.edu
226,Drexel University,Private,www.drexel.edu
227,Stonehill College,Private,www.stonehill.edu
228,University of South Florida,Public,www.usf.edu
229,St. Mary's College of Maryland,Public,www.smcm.edu
230,Bard College,Private,www.bard.edu
231,Washington State University,Public,www.wsu.edu
232,Truman State University,Public,www.truman.edu
233,Illinois Wesleyan University,Private,www.iwu.edu
234,St. John's College Annapolis,Private,stjohnscollege.edu
235,SUNY Geneseo,Public,geneseo.edu
236,Westmont College,Private,www.westmont.edu
237,Cedarville University,Private,www.cedarville.edu
238,University of the Pacific (CA),Private,www.pacific.edu
239,University of Nebraska Lincoln,Public,www.unl.edu
240,University of Texas Dallas,Public,www.utdallas.edu
241,Rollins College,Private,www.rollins.edu
242,University of Central Florida,Public,www.ucf.edu
243,Ithaca College,Private,www.ithaca.edu
244,DePaul University,Private,www.depaul.edu/Pages/default.aspx
245,Missouri University of Science and Technology,Public,www.mst.edu
246,University of New Hampshire,Public,www.unh.edu
247,Hope College,Private,hope.edu
248,Loyola University Chicago,Private,www.luc.edu
249,Seton Hall University,Private,www.shu.edu
250,College of Wooster,Private,wooster.edu
251,University of Scranton,Private,www.scranton.edu
252,University of Alabama,Public,www.ua.edu
253,College of Saint Benedict,Private,www.csbsju.edu
254,Saint John's University (MN),Private,www.csbsju.edu/About/Saint-Johns-University.htm
255,California Lutheran University,Private,www.callutheran.edu
