1,13844,31120,14327,49870,69600,146800,5,1460,1590,32,35
2,8402,17534,13261,50134,69109,145200,5,1390,1540,32,35
3,6483,12974,18627,50897,71290,138300,7,1460,1580,32,35
4,4680,11466,20771,43248,67430,155200,7,1490,1570,33,35
5,5659,8273,9327,48088,66150,139400,6,1430,1570,31,35
6,13437,25367,24242,44801,71715,133900,9,1420,1560,32,35
7,7390,10095,30205,42455,71050,127600,8,1405,1570,31,35
8,1002,2238,24245,41408,68901,151600,8,1530,1590,34,35
9,7184,16130,35737,47836,71764,132100,10,1380,1540,31,35
10,4693,6509,30421,47171,71827,130900,10,1430,1560,30,34
11,14774,23016,31230,36164,70321,128200,13,1390,1550,31,34
12,1599,1665,15840,48930,69725,117200,8,1370,1530,30,34
13,31133,41891,15859,18319,65003,131800,17,1260,1480,30,34
14,8523,30454,24231,49185,74199,126800,7,1410,1570,31,34
15,8194,19005,30107,41893,71580,122200,16,1350,1520,30,34
16,6915,16227,25455,37883,75735,114200,9,1480,1580,32,35
17,10163,22008,24047,44247,72980,115400,9,1420,1560,32,34
18,8664,12467,28768,39590,69395,130500,19,1370,1520,32,34
19,2134,2227,22667,48050,70650,127500,15,1400,1570,31,35
20,29773,46002,14860,18751,62176,112200,27,1330,1500,30,33
21,4036,7022,20237,36387,63158,129500,16,1490,1580,33,35
22,7825,25151,33586,38542,69863,117100,13,1450,1570,33,35
23,847,861,34464,33782,74428,158200,15,1470,1570,33,35
24,4495,4526,0,-1,0,152800,8,1150,1370,-1,-1
25,1577,1630,20511,46105,68846,123200,11,1380,1540,31,34
26,1816,1965,22810,41143,68070,112000,14,-1,-1,-1,-1
27,7006,12592,19959,41359,67392,119100,11,1440,1570,32,35
28,1836,1945,22463,49467,71300,116500,13,1400,1560,32,34
29,1345,1364,26933,40673,71745,125400,10,1340,1510,30,34
30,20582,45687,30232,36686,72209,120600,16,1300,1500,30,34
31,8533,15303,28540,41977,71975,114900,16,1470,1570,32,34
32,4491,4568,0,-1,0,144000,10,1185,1400,23,28
33,18432,24360,20547,21171,62633,117500,27,1310,1500,29,33
34,5960,11449,32620,38605,70600,118100,15,1410,1540,31,34
35,30252,51123,40336,31542,71790,117700,28,1290,1490,29,33
36,2591,3855,26075,43491,69464,109800,17,1320,1510,30,34
37,6941,13869,31102,38163,70094,136100,22,1430,1560,32,35
38,33148,44027,14309,20011,61915,116100,16,1220,1450,29,34
39,1787,1905,25192,43238,68870,111900,22,-1,-1,-1,-1
40,3123,3213,29956,43276,69935,117000,16,-1,-1,-1,-1
41,10304,14628,34550,40716,70588,115400,32,1320,1490,31,33
42,1855,2220,24761,39671,65950,123200,22,1350,1490,31,33
43,4237,4276,0,-1,0,138100,12,1210,1390,28,32
44,2508,2688,23188,45777,69034,106200,22,1360,1530,30,33
45,19429,29911,14163,17291,51152,100800,24,1270,1460,28,33
46,2894,3025,23310,45108,69860,130600,28,1310,1500,31,33
47,6822,8740,19720,18738,59012,108900,36,1300,1480,29,33
48,1810,1959,21206,36359,66678,106900,20,1310,1470,30,33
49,1296,1326,26607,45805,71614,112300,20,1390,1530,31,34
50,2544,2668,25007,44776,71282,109800,15,1310,1500,30,33
51,5754,8629,33738,26671,69439,134700,54,1270,1440,28,32
52,2078,2155,27898,38342,68835,109900,21,1360,1530,31,34
53,896,1044,0,-1,0,118100,15,1180,1343,26,31
54,1074,1087,28423,41257,70500,96600,16,-1,-1,-1,-1
55,7859,14263,26760,38213,66950,110800,22,1350,1520,30,33
56,5068,8116,33382,42495,69130,114800,28,-1,-1,-1,-1
57,2569,2594,30820,39957,68640,122500,31,1260,1440,28,31
58,921,946,14564,32452,65045,126200,13,1310,1530,28,34
59,1901,2043,24140,43611,67670,108100,24,1360,1510,31,33
60,1083,1092,30974,31633,71060,98600,33,1290,1460,29,33
61,2353,2572,23687,44517,70370,100100,24,1330,1500,30,33
62,2354,3329,35540,36717,68432,133800,24,1230,1410,27,32
63,32022,40521,18517,8955,49698,113400,45,1280,1470,29,33
64,38781,46166,12899,14051,51159,112300,46,1190,1420,27,32
65,17223,29376,13291,12779,49366,133400,23,1090,1520,30,34
66,912,975,6758,3597,8646,140700,22,1210,1280,26,28
67,5337,7017,34212,36014,65925,134100,25,1270,1430,29,32
68,35476,48216,18377,13595,46202,115300,62,1340,1500,26,32
69,33863,42977,19880,6733,49885,104400,54,1280,1450,27,31
70,37851,52669,12345,6636,43409,102800,42,1240,1400,28,32
71,1677,1795,30504,34966,69180,103800,34,1263,1460,29,33
72,7873,10967,41858,30163,68231,119500,36,1250,1440,30,33
73,3678,3740,40976,29783,70125,122900,31,1250,1420,28,31
74,22829,33355,37065,34156,70302,113600,25,1300,1480,29,32
75,1917,2032,20739,45463,68582,103300,16,1340,1500,31,33
76,42827,51525,16960,10644,51786,112800,36,1220,1460,26,33
